actor,repo,type,repo_url,repo_created_at,actor,created_at,repo,repo_created_at,repo_url,timestamp,type
fperez,ipython,IssuesEvent,https://github.com/ipython/ipython,2010-05-10 04:46:06,2,2,2,2,2,2,2
drphilmarshall,AstroData,IssueCommentEvent,https://github.com/uwescience/AstroData,2014-01-22 21:46:14,2,2,2,2,2,2,2
dhuppenkothen,ClassicalStatsPython,CreateEvent,https://github.com/dhuppenkothen/ClassicalStatsPython,2014-09-18 21:50:12,2,2,2,2,2,2,2
drphilmarshall,astroML,IssuesEvent,https://github.com/astroML/astroML,2012-10-17 22:33:50,2,2,2,2,2,2,2
drphilmarshall,DataScience,IssuesEvent,https://github.com/brittafiore/DataScience,2014-09-19 20:54:24,2,2,2,2,2,2,2
dhuppenkothen,UTools,CreateEvent,https://github.com/dhuppenkothen/UTools,2014-09-15 17:38:18,2,2,2,2,2,2,2
jradavenport,random-forest-timeseries,CreateEvent,https://github.com/jradavenport/random-forest-timeseries,2014-09-19 00:51:49,2,2,2,2,2,2,2
drphilmarshall,Bananas,PushEvent,https://github.com/drphilmarshall/Bananas,2014-09-18 15:43:32,2,2,2,2,2,2,2
jakevdp,astrohackweek.github.io,CreateEvent,https://github.com/AstroHackWeek/astrohackweek.github.io,2014-09-19 20:45:11,2,2,2,2,2,2,2
nhuntwalker,scripts,PushEvent,https://github.com/nhuntwalker/scripts,2014-06-11 21:36:17,2,2,2,2,2,2,2
karenyyng,clustering,PushEvent,https://github.com/karenyyng/clustering,2014-09-05 07:05:49,2,2,2,2,2,2,2
wilmatrick,test,CreateEvent,https://github.com/wilmatrick/test,2014-09-15 23:26:22,2,2,2,2,2,2,2
sofiatti,seaborn,IssueCommentEvent,https://github.com/mwaskom/seaborn,2012-06-18 18:41:19,2,2,2,2,2,2,2
sofiatti,colormag_sncosmo,CreateEvent,https://github.com/sofiatti/colormag_sncosmo,2014-09-19 22:35:41,2,2,2,2,2,2,2
kbarbary,sncosmo,PushEvent,https://github.com/sncosmo/sncosmo,2012-11-29 22:22:17,2,2,2,2,2,2,2
kbarbary,sncosmo,IssueCommentEvent,https://github.com/sncosmo/sncosmo,2012-11-29 22:22:17,2,2,2,2,2,2,2
kbarbary,nestle,PullRequestEvent,https://github.com/kbarbary/nestle,2013-07-18 19:28:48,2,2,2,2,2,2,2
kbarbary,emcee,IssueCommentEvent,https://github.com/dfm/emcee,2011-11-07 16:17:08,2,2,2,2,2,2,2
kbarbary,astrodata2014-julia,PushEvent,https://github.com/kbarbary/astrodata2014-julia,2014-09-14 22:30:23,2,2,2,2,2,2,2
RuthAngus,BlackHoleGP,CreateEvent,https://github.com/RuthAngus/BlackHoleGP,2014-09-16 00:51:28,2,2,2,2,2,2,2
kapadia,pywt,WatchEvent,https://github.com/nigma/pywt,2010-10-23 14:46:46,1,1,1,1,1,1,1
jonathansick,sedbot,CreateEvent,https://github.com/jonathansick/sedbot,2014-03-10 00:31:41,1,1,1,1,1,1,1
kapadia,astroML,WatchEvent,https://github.com/astroML/astroML,2012-10-17 22:33:50,1,1,1,1,1,1,1
adrn,teaching,PushEvent,https://github.com/adrn/teaching,2012-08-14 17:42:57,1,1,1,1,1,1,1
wilmatrick,astroMLfigs,ForkEvent,https://github.com/gully/astroMLfigs,2014-06-27 16:58:08,1,1,1,1,1,1,1
bareid,AstroData,GollumEvent,https://github.com/uwescience/AstroData,2014-01-22 21:46:14,1,1,1,1,1,1,1
bareid,xi,CreateEvent,https://github.com/bareid/xi,2014-09-19 20:30:09,1,1,1,1,1,1,1
sofiatti,sncosmo,PushEvent,https://github.com/sofiatti/sncosmo,2014-09-19 03:56:29,1,1,1,1,1,1,1
bareid,xi,PushEvent,https://github.com/bareid/xi,2014-09-19 20:30:09,1,1,1,1,1,1,1
davidwhogg,Apogee,IssuesEvent,https://github.com/mkness/Apogee,2014-08-14 17:14:40,1,1,1,1,1,1,1
davidwhogg,blind-dating,IssuesEvent,https://github.com/adrn/blind-dating,2014-09-15 21:55:05,1,1,1,1,1,1,1
davidwhogg,blind-dating,PushEvent,https://github.com/adrn/blind-dating,2014-09-15 21:55:05,1,1,1,1,1,1,1
