repo,repo_url,repo_created_at,actor,created_at,repo,repo_created_at,repo_url,timestamp,type
vowpal_wabbit,https://github.com/JohnLangford/vowpal_wabbit,2009-07-31 19:36:58,1,1,1,1,1,1,1
teaching,https://github.com/adrn/teaching,2012-08-14 17:42:57,1,1,1,1,1,1,1
stream-morphology,https://github.com/adrn/stream-morphology,2014-09-12 13:33:11,1,1,1,1,1,1,1
sncosmo,https://github.com/sofiatti/sncosmo,2014-09-19 03:56:29,1,1,1,1,1,1,1
pywt,https://github.com/nigma/pywt,2010-10-23 14:46:46,1,1,1,1,1,1,1
python-seminar,https://github.com/profjsb/python-seminar,2012-08-23 03:30:01,1,1,1,1,1,1,1
pandas,https://github.com/pydata/pandas,2010-08-24 01:37:33,1,1,1,1,1,1,1
noisy-plane,https://github.com/dfm/noisy-plane,2013-12-18 17:35:34,1,1,1,1,1,1,1
kaggle-galaxies,https://github.com/benanne/kaggle-galaxies,2014-04-15 10:14:25,1,1,1,1,1,1,1
bokeh,https://github.com/ContinuumIO/bokeh,2012-03-26 15:40:01,1,1,1,1,1,1,1
interactivesncosmo,https://github.com/rbiswas4/interactivesncosmo,2014-09-17 21:14:06,1,1,1,1,1,1,1
gj1245,https://github.com/jlurie/gj1245,2014-04-25 19:02:49,1,1,1,1,1,1,1
emcee,https://github.com/drphilmarshall/emcee,2012-04-06 20:40:10,1,1,1,1,1,1,1
day5,https://github.com/AstroHackWeek/day5,2014-08-14 06:04:04,1,1,1,1,1,1,1
day2,https://github.com/AstroHackWeek/day2,2014-08-14 06:02:54,1,1,1,1,1,1,1
data_science,https://github.com/nhuntwalker/data_science,2014-09-15 21:12:41,1,1,1,1,1,1,1
d3,https://github.com/mbostock/d3,2010-09-27 17:22:42,1,1,1,1,1,1,1
caffe,https://github.com/BVLC/caffe,2013-09-12 18:39:48,1,1,1,1,1,1,1
ADR4Movie,https://github.com/alex-parker/ADR4Movie,2014-09-16 17:13:10,1,1,1,1,1,1,1
